rank in league,team,matches,goals for,goals against,team goal scorer
1,Real Madrid,38,87,26,Jude Bellingham - 19
2,Barcelona,38,79,44,Robert Lewandowski - 19
3,Girona,38,85,46,Artem Dovbyk - 24
4,Atlético Madrid,38,70,43,Antoine Griezmann - 16
5,Athletic Club,38,61,37,Gorka Guruzeta - 14
6,Real Sociedad,38,51,39,Mikel Oyarzabal - 9
7,Betis,38,48,45,Willian José - 10
8,Villarreal,38,65,65,Alexander Sørloth - 23
9,Valencia,38,40,45,Hugo Duro - 13
10,Alavés,38,36,46,Samu Omorodion - 8
11,Osasuna,38,45,56,Ante Budimir - 17
12,Getafe,38,42,54,Borja Mayoral - 15
13,Celta Vigo,38,46,57,Jørgen Strand Larsen - 13
14,Sevilla,38,48,54,Youssef En-Nesyri - 16
15,Mallorca,38,33,44,Vedat Muriqi - 7
16,Las Palmas,38,33,47,Kirian Rodríguez - 6
17,Rayo Vallecano,38,29,48,Álvaro García - 6
18,Cádiz,38,26,55,Chris Ramos - 5
19,Almería,38,43,75,Sergio Arribas - 9
20,Granada,38,38,79,Myrto Uzuni - 11
